Title,Url,Category,Views,Activity,Replies,Content,
,,,,,,Brian_Grau,"Hello Jeremy,Were you ever able to get these problems sorted out? We have recently launched a <a href=""https://docs.google.com/forms/d/1erC38nIh78S734N2UQK6Xx3VYgYXOvShA9TQ25Pyzs0/viewform?fbzx=329119282362925793"">support system</a> to help customers having problems.Please feel free to post here or reach out to us through the support channel.-Brian G."
,,,,,,Jeremy,"Hi Brian,Thanks for reaching out.  Iâ€™m hoping to know if Iâ€™ve resolved the issue<br>
soon.<br>
I bought a new Tanda set (had discarded the wall-plug parts of the first<br>
ones and possibly fried them).<br>
I was able to get real time camera signal by ethernet connecting the BBB to<br>
a Tenda wall plug, communicate through my houseâ€™s electrical wiring, and<br>
observe the ROV cockpit on my laptop (connected to the second Tenda).Therefore, it looks like these Tendas have found each other, so I expect<br>
that when I swap them into the robot, Iâ€™ll get communication.Will post my findings shortly."
,,,,,,Jeremy,"Bought new tendas and let them connect to each other via the wall (observed the camera by connecting BBB to one tenda, other to my laptop).<br>
Then put the Tendas in topside box and on controller board<br>
Now I am able to observe the realtime camera feed and even control the lights over the tether!<br>
*Not sure if old Tendas were broken or if they just needed to find eachotherâ€™s IP through the wall before using.Up until this point, I had not attached the ESCs to D6-D8 and also had the wires to the motors themselves disconnected from the 25-pinI then attache the Port ESC and also connected the 25-pin triplet to the actual motor.  Using the controls, I was able to spin the propeller on command as well as raise and lower the camera.  I was drawing 0.4AHowever, then a weird short appeared.  I am using a power supply (instead of a battery, to guard against shorts).  I added the other two ESCs, turned it on and had a short (which causes the power supply to flick the power on and off as it hits and then drops current limit).  Shutting off power and turning it back on did not resolve the short, only shutting off/removing onboard Tenda/replacing onboard Tenda, caused the short to resolve.  It then started shorting after booting up, which made me suspect that attempting to power the ESCs was the problem.It seems now that when I have the ESCs in and have at least one ESC switch on, the short occurs.  If I leave all ESCs off, I can view the webcam and control the lights, but I can no longer move the camera.  Obviously with the ESCâ€™s switched off, I can also not spin the propellers.  Any of the 3 ESCs cause this short.Ligating over J17 does not have any effect; there is a voltage of 12V over it though.When I try to control the motors in any way (up down left right ctrl or shift), BTX illuminates so the signal is getting to the controller board.I have tried all of the various toggle buttons (like [ to enable ESCs)There is 12V over the ESC itself (Power and GND) and 0 V over J7 even when I try to move the propellersThe behavior is not 100% consistent.  Occassionally, I will have the system set up as described and try an ESC switch (short), try again (short), try again and get a quick burst that moves the webcam servo followed by no short.  The cockpit must then reboot because of the intial short (and generally wonâ€™t, despite all indicator lights on control board and Tenda lit), but I then get 6V over J7; still cannot use red button to program the ESC.  Drawing 0.5A.  Restarting power brings back the short.I donâ€™t see how this could be a soldering issue on the control board, all connections look good."
,,,,,,badevguru,How many amps are available on your bench supply?  You need a good 1.5 to 2A to start up.
,,,,,,Jeremy,"Hi badevguru,I think you nailed the issue.  My power supply can only deliver 1A.<br>
I had discarded this theory because, even with all of the ESCs switched off, I could not recover the ability to move the webcam.  Similarly, I could not boot up with only one ESC on and control the propeller.However, I failed to account for the fact that on boot up, simply having the motors connected to the controller board via the 25-pin (even with ESCs off) draws current and was tapping my limit (manifesting as a â€œshortâ€)I see now that, if I disconnect the webcam ESC, and turn on one propeller, the propeller spins and 0.8A is drawn.  Easy to see how having all 3 going would send me over my current limit.Theoretically, I can switch to battery power and all will be fine.  Iâ€™m a bit concerned about frying components if there really is a short though, so Iâ€™m going to pick up some fuses first.  Iâ€™ll check the specs, but to be certain, do you know the robotâ€™s tolerance?  You said 2A on startup, but since Iâ€™m hitting 0.8A when driving a single propeller, I might need a fuse to tolerate at least 2.4A?  Maybe more?Thanks kindly for your help!"
,,,,,,Jeremy,"Quick update while waiting for fuses.  I was able to test each motor individually by booting up, and then selectively attaching one at a time (to keep current under my 1A power supply limit).  Each worked (with some oddities such as the starboard being unwilling to spin in reverse despite the red activator ESC light coming on for it).  Might be an issue with programming.  Good to see all are working with no shorts though, encourages me that the switch to onboard power will succeed."
,,,,,,Charliemaker,"Hello Jeremy,I had a very similar issue with my Starboard motor and spent much time trying to isolate and sort out what I thought was an electrical issue.  Turns out, it may be a software glitch.  Eric also reported it here <a href=""https://github.com/OpenROV/openrov-software/issues/334"" rel=""nofollow noopener"">https://github.com/OpenROV/openrov-software/issues/334</a>Try simply Going into and then closing the â€œDiagnosticsâ€ screen as has been reported.  Works for me.~ Charles"
Motors not reversing,https://forum.openrov.com/t/motors-not-reversing/2546,OpenROV 2.5 - 2.8,717,Mar '15,1,Motors not reversing - OpenROV 2.5 - 2.8 - OpenROV Forums,
,,,,,,,
,,,,,,cryomac,none of them - they just aint going backwards folks - any ideas
,,,,,,badevguru,
Issue with dive lights kicking off,https://forum.openrov.com/t/issue-with-dive-lights-kicking-off/2527,OpenROV 2.5 - 2.8,1.5k,Mar '15,15,Issue with dive lights kicking off - OpenROV 2.5 - 2.8 - OpenROV Forums,
,,,,,,,
,,,,,,Paul_S,"So we have been having a problem with a few of our 2.7 units where they will randomly shut off the led lights while diving. We will be diving for approximately 15-20 minutes and the lights will turn off. If we turn them, back on they stay on for a short while, then shut off again. Has anyone have this problem before? This has happened with more than one unit too."
,,,,,,parson_nicholas,"Last night, on dive <span class=""hashtag"">#3</span> for my ROV, I had the lights go off a few times. I was able to bring them back up immediately, though, so I didnâ€™t think too much of it."
,,,,,,badevguru,"There are two likely causes that come to mind:The Arduino has reset.  If the runtime in the lower right resets to zero, that is an indication that Arduino has rest.If the Arduino does not receive and heartbeat signal from the browser after a minute it will stop the motors and flash the lights.  I may need to widen the gap as it appears there are cases where the Arduino appears to give up waiting on the heartbeat and then almost immediately gets it.  The two possible reasons for an inconsistent receipt of the heart beat are<br>
a. Communication lag. Either the homeplug momentarily disconnect or some other interference is causing delays in the network traffic beteen the beaglebone and the browser.<br>
b. The browser is falling behind in sending the heartbeats. This does happen if the browser window does not have focus (Chrome then runs the javascript on the browser at a much lower priority). This could also happen if the computer in general is running out of horse power."
,,,,,,Paul_S,Which file would I modify to adjust the amount of time between heartbeets located? I need to change this ASAP.
,,,,,,badevguru,"No problem:You can change it here from 2000ms to whatever you would like:<br>
<a href=""https://github.com/OpenROV/openrov-software-arduino/blob/master/OpenROV/DeadManSwitch.cpp#L40"" class=""onebox"" target=""_blank"">https://github.com/OpenROV/openrov-software-arduino/blob/master/OpenROV/DeadManSwitch.cpp#L40</a>Of you can simply disable the feature all together by changing the line below from a 1 to a 0.<br>
<a href=""https://github.com/OpenROV/openrov-software-arduino/blob/master/OpenROV/AConfig.h#L31"" class=""onebox"" target=""_blank"">https://github.com/OpenROV/openrov-software-arduino/blob/master/OpenROV/AConfig.h#L31</a>"
,,,,,,parson_nicholas,"I just completed a dive about an hour ago, and the light issue was much more pronounced. They would turn off while the thrusters were powering the ROV around, and no other system appeared to be affected at all when the lights conked out. I was still able to bring the lights right back, however they would go out once again a few minutes later."
,,,,,,Paul_S,Thank you so much for the fast reply!
,,,,,,Paul_S,"<span class=""mention"">@parson-nicholas</span>I had the same issue last night, weâ€™re going to do night dives tonight, but it seemed that the lights would shut off again in less than one minute. The other thing is, I noticed my IMU getting weird afterward too, but it was back to normal after a restart."
,,,,,,Paul_S,"<a class=""mention"" href=""/u/badevguru"">@badevguru</a> is this a config file that is editable on the ROV its self, or would I have to download the source, change it and compile it and transfer it over to the ROV?"
,,,,,,badevguru,"Editable on the ROV itself.The actual files are in <code>/opt/openrov/arduino/OpenROV</code>I believe you can get to them using the built in web editor â€œCloud9â€ that you can start from the dashboard (<a href=""http://192.168.254.1"">http://192.168.254.1</a>)Or you can ssh on to the ROV and change them using the pico text editor.You much re-upload the Arduino firmware via the settings tab after making and saving the changes to the text files for them to be applied to your ROV."
,,,,,,Paul_S,"I found it a second after posting, thanks again!"
,,,,,,parson_nicholas,"Iâ€™m trying to get to the AConfig.h file to turn off the deadman switch (I really have no idea what Iâ€™m doing, but Iâ€™m trying to learn as I go along!) and am using Cloud9. However, when I click on the file to open it, itâ€™s blank. What am I missing?<div class=""lightbox-wrapper""><a class=""lightbox"" href=""https://discourse-cdn-sjc1.com/business6/uploads/openrov/4685/9b9fa33dc3f4788a.png"" data-download-href=""https://discourse-cdn-sjc1.com/business6/uploads/openrov/8a7f2f437dad4c6897330ae87fdceb4f4c78c65e"" title=""Screen shot 2015-03-12 at 2.12.45 PM.png"" rel=""nofollow noopener""><img  width=""690"" height=""355""><div class=""meta"">
<span class=""filename"">Screen shot 2015-03-12 at 2.12.45 PM.png</span><span class=""informations"">1430x736 235 KB</span><span class=""expand""></span>
</div></a></div>"
,,,,,,badevguru,If you first open up cloud9 and it gives you a session error message you will need to refresh the browser until you no longer get that message.
,,,,,,parson_nicholas,"I didnâ€™t receive any error messages, so it must be something that I am doing incorrectly. I went to the dashboard, clicked â€œstartâ€ under Cloud9, entered Cloud9 once it said â€œrunningâ€ on the dashboard, then clicked openrov -&gt; arduino -&gt; OpenROV -&gt; Aconfig.h. Thatâ€™s how I got to where I am in the screenshot above."
,,,,,,badevguru,"Well shoot. I just fired up mine and see the same symptoms. Looks like a key file is missing or unable to load. Iâ€™ll have to take a look tonight. Sorry, no quick fix for using Cloud9.The work around is going to have to be sshâ€™ing on to the ROV and using the pico program to change the file.<a href=""https://github.com/OpenROV/openrov-image/issues/84"" class=""onebox"" target=""_blank"">https://github.com/OpenROV/openrov-image/issues/84</a>"
,,,,,,parson_nicholas,"Thanks for taking a look! I still need to learn up on SSHing to the ROV, so Iâ€™ll wait for the Cloud9 issue to be resolved. The light issue has been more of a small nuisance than a real problem."
Thruster/ESC issues,https://forum.openrov.com/t/thruster-esc-issues/2503,OpenROV 2.5 - 2.8,2.1k,Mar '15,11,Thruster/ESC issues - OpenROV 2.5 - 2.8 - OpenROV Forums,
,,,,,,,
,,,,,,Ronald_Peters,"An issue has crept in to my v2.6 unit.   I have just finished assembling &amp; installing the new Battery tube bracket system and I have put the entire unit back together.  I plug in (turn on the ROV to the computer USB)  Stbd thruster starts to run immediately without any control input and before the controller board even finishes booting up.  So I go back to the basic ESC programming and calibration procedures as listed in the assembly instructions (and listed below:   I start with the Port ESC. I go to the cockpit view and enter â€œdiagnosticsâ€ window.  I then Start the procedures with steps 1 thru 4 on the port thruster slider on the cockpit calibration window = nothing happens.  So I switch to the STBD slider and go through steps 1 thru 4 and the Port motor runs.   Next I go to step 5 (on the STBD) thruster slider and = the STBD motor runs.  One ESC in two different positions makes two different motors runâ€¦?Soâ€¦, next I go to the STBD ESC as soon as I turn the switch on (and the slider on the diagnostics windo is set at 0) the Port motor starts to run and the Stbd motor starts to twitch.  (again two motors affected by one ESC)  When I try to do step 5 the port engine switched direction.  When I set the slider to zero the port engine continues to run.A little historyâ€¦:   the unit functioned properly (with regard to thruster control) in previous bathtub and bench tests.   This is a totally new problem.    The only thing I did was to disconnect and reconnect the battery tubes.  I have run tests with multimeter to ensure that I reconnected the battery tube leads properly and the polarity is correct.  The telemetry, light control, camera, laser control, camera tilt servo are all functioning properly.I have also reloaded the 2.5.1 image onto the BBB.  This did not help.Anybody have any ideasâ€¦?   PLEASEâ€¦â€œ1) Now that the speed controllers have been programmed we are going to calibrate them. As a reminder the order of the ESCs for the PWM wires are D6-Port, D7-Vertical, D8-Starboard.<br>
2) With all of the ESCs switched off, go ahead and power up. Nothing should happen on the motors. Connect with the cockpit software and open the diagnostic pane.<br>
3) Hold the reset button on the ESC while powering on the first ESC using the switch on the ESCâ€¦ it should start beepingâ€¦ let go of the reset button. (It will keep beeping which is fine).<br>
Press reset once and you should hear a single beep.<br>
4) Move that motorâ€™s slider all the way to the right (or click the â€œ1â€) and then press the reset on the ESC again. You should get 2 beeps.<br>
5) Move that motorâ€™s slider all the way to the left (or click the â€œ-1â€) and then press the reset on the ESC again. After a few seconds the motor will begin to spin.<br>
6) Switch off the ESC and move the slider back to the middle (or click the â€œ0â€). Move the next ESC and repeatâ€¦â€"
,,,,,,Ronald_Peters,"Still having issues.   I thought that there might â€œpossiblyâ€ be an intermittent short at the D-25 female plug, as it gets moved around when the e-chassis and camera get slid into and out of the e-tube.  So I replaced the d-25 female plug.  This did not solve the issue.  Troubleshooting continuesâ€¦"
,,,,,,Walt_Holm,"Ron:If I were to guess, Iâ€™d guess  that the Starboard ESC has lost itâ€™s programming.  Your text refers to checking the calibration but nothing about checking the programming.If the ESC loses itâ€™s head and goes back to thinking itâ€™s forwards only (not forwards and reverse), then the ROVâ€™s neutral setting (1500 usec) would cause the motor to start spinning at half throttle.Soâ€¦Iâ€™d go back to the step where you <em>program</em> the ESCs, and check that the ESC is still programmed correctly.  This is a lot easier if you have a programmer card for the ESCs.If that looks OK, you might want to look at using a servo tester to see if the ESC is working correctly.  Servo testers can be cheaply obtained via Amazon.  You just plug it into a servo or ESC, and adjust the dial to get whatever speed or position setting you want.  That will tell you whether the motor range goes through reverse-neutral-forwards as it should.-W"
,,,,,,Ronald_Peters,Hi Walt.   You have a good point.   Iâ€™ll try to reprogram the ESCâ€™s.  Great recommendation for the servo tester.  I thin I am definitely going to add one to my bench.   Iâ€™m looking on Amazon now.  There are certainly a lot of servo testers to choose from.  Any recommendations?
,,,,,,Ronald_Peters,"Ok,  I have attempted to reprogram the ESCâ€™s  They all appeared to accept the reprogramming.   Next I went to calibration as in step 97 of kit assembly guide (v2.6).  I was able to successfully complete calibration sequence on the Port &amp; Vertical thrusters. However, when I tried to do the calibration sequence for the Stbd thruster I had the following issues:   When I switched on the Stbd thruster ESC (per instructions) I got the beeps, when I pressed the reset button the beeps stopped.  When I moved the calibration slider to the +1 position and depressed the reset on the ESC I got two beeps.  I then set the slider to the -1 position and depressed the reset and got three beeps, then the motor began to run only sporadicallyâ€¦   Also - when I initially turned on the Stbd ESC,  the vertical thruster began to run and continued to run the entire time that I was trying to calibrate the Stbd ESC (note that the vertical thruster ESC was switched OFF).   When I switched off the Stbd ESC then the vertical and stbd motors stopped.   Is that normal?"
,,,,,,Ronald_Peters,"â€¦also,  and I donâ€™t know if this is related,  but the servo that controls the camera tilt does not activate unless at least one of the ESCâ€™s is switched onâ€¦ I had not noticed that before."
,,,,,,codewithpassion,"Hey <a class=""mention"" href=""/u/ronald_peters"">@Ronald_Peters</a>The question with the camera servo:<br>
Yes, if you switch off all ESCs the camera servo does not get any power and therefore does not move.If you have troubles with the ESCs, I found I could resolve them by:I had seemingly unresolvable issues with programming the ESCs until I took the batteries out and put them back in. Even though the ROV switches off when the USB is unplugged there is still some power across the controller board and that seems to interfere with switching the ESCs off completely.<br>
Maybe this is a bit esoterical, but that way I could resolve issues.Hope that helps.<br>
Dominik"
,,,,,,Ronald_Peters,"Hi Dominik<br>
Thanks for your recommendation.  I did as you suggested and I thought, at first, that it might work.  I verified all three ESCâ€™s separately for programming and all appeared to be good.  I also did calibration on each ESC/Motor separately as suggested, and each worked as prescribed.  However, I then plugged all three ESCâ€™s in and attempted to control the thrusters with the following results:<br>
Initially all thrusters were off (not running).<br>
When I attempted to activate the Stbd thruster the motor started.<br>
I then attempted to stop the stbd thruster but it continued to run.<br>
I attempted to reverse the stbd thruster and it did NOT reverse<br>
I then attempted to stop the stbd thruster (again) but it continued to run.<br>
All controls on the Port and Vertical thrusters appeared to work properly.All other functions and video appear to function as prescribed, (except the stbd thruster/ESC fiunctions).Summary of steps taken so far:Itâ€™s almost like the STBD ESC/Motor can start and run, but once it starts it can not be stopped.Iâ€™m wondering how to verify that the ESC for the Stbd motor is functioning properly (other than the programming sequence)?   Iâ€™m beginning to suspect the Stbd ESC is the cause of the issue.Ideasâ€¦?   Suggestionsâ€¦?   Solutionsâ€¦?Ron sends"
,,,,,,Walt_Holm,"Hi Ron:It could very well be a defective starboard ESC.  Did you end up ordering a servo tester off of Amazon?  Thatâ€™s really the only way youâ€™re going to be able to tell whatâ€™s going on- you have to be able to divide the problem into chunks.  With the servo tester, youâ€™ll know right away whether the problem is in the ESC or in the controller board hardware.-W"
,,,,,,Ronald_Peters,"Hi Walt.I ordered a servo tester on Amazon.  Hopefully Iâ€™ll receive it in a few days.<br>
Maybe then I will be able to isolate the problem. It was strange how  this issue came about.  I did have everything working properly.  I even ran it around the bathtub to test the thrusters and (then) it appeared that all thrusters were working properly.Thanks again for your help."
,,,,,,Ronald_Peters,"Hi again forum.   an update on the issue at hand.   It appears that the problem is isolated to the Stbd ESC.   Here is what I have done today.   I have removed the batteries and then replaced them.  I have next connected the ROV to the USB port of the computer and let it boot up.  Next I have connected to the Cockpit view.   I have opened the â€œDiagnosticsâ€ window.   Next I have plugged in the Stbd ESC (only) and on to the â€œD*â€ header pins as prescribed.   I went through all 10 items on the ESC programming sequence and then verified that all 10 items were correctly programmed.  Next, I went through the calibration sequence using the calibration slides, as prescribed, and all appeared to go as expected (normally).To test the progress I left the STBD ESC plugged on to the D* header (as before).   I switched the STBD ESC on and the Stbd motor did NOT start.  I then used the STBD motor slider on the Diagnostics window to activate the motor which ran forward (when in the +1 position and actually reversed direction and ran reverse when the slider was in the -1 position.  However, the motor could NOT be stopped in any slider position.   It appears that the â€œstopâ€ function is not available in this ESC/Motor combination.  Iâ€™m wondering if it is the ESC or the Motor?   How can I test the motor separately???Thoughts, Ideas, recommendationsâ€¦?All other functions (including Port and Vertical thrusters) appear to be working as prescribed.ThanksRon sends"
,,,,,,Ronald_Peters,"Well, another interesting development.  The issue with the stbd thruster has resolved (at least for the moment) upon trying the OpenRov-ROV-Suite 2.5.1 Finals Errants Workaround â€œWork Around: Open the diagnostic screen and use the arrow close button to close the screen. Motors should now work correctly.â€   as described in <a href=""https://forum.openrov.com/t/openrov-rov-suite-2-5-1-final-errants/2530"">OpenROV-ROV-Suite 2.5.1 Final Errants</a><strong>So it now appears to have been a software errorâ€¦ ???</strong>Although now, when I plug in my F310 game pad controller I no longer have access to the dropdown menu for control items (lasers, etcâ€¦)"
,,,,,,Dev kit without ECS&#39;s - OpenROV 2.5 - 2.8 - OpenROV Forums,
,,,,,,,
,,,,,,kyledavis905,"Hi, I am building an ROV with my school and we are constructing our own frame but are using the open ROV electronics. We purchased the open rov 2.7 dev kit without the escâ€™s because we had already purchased the blue robotics T100 thruster and 30 amp escâ€™s they sell. so my question is, should we solder the escâ€™s to the open rov control board or run them seperatly, ony pluging in the PWM cable to the board."
,,,,,,Stretch,"I think you can do it either way.  The advantage of soldering the ESCâ€™s to the control board are that youâ€™ll only need to run 3 wires per thruster into the main water-tight housing, otherwise youâ€™ll need to run 3 for control and 2 for power.  The only thing I donâ€™t know is whether the OpenROV control board can handle the 30 amp load that the new ESCâ€™s are rated to."
,,,,,,Walt_Holm,"Hi Kyle and Stretch:The OROV controller board definitely cannot handle a 30A load.   The OpenROV 2.7 motors draw around 7-8 amps at full load, and the board can handle a little more than that, but not much.So what Iâ€™d say is this:If youâ€™re going to run T100 thrusters using the standard OpenROV battery voltage (9.6V, a 3S configuration of LiFePO4 batteries), then you should be OK mounting the ESCs on the controller board.  If youâ€™re running at a higher voltage, say 11.1V (a 3S configuration of LiPO batteries) or 12V, then I would recommend against it.  You can do so, but realize that full-power operation of all the motors could end up melting something.-W"
,,,,,,Rustom_Jehangir,"I agree with Waltâ€™s suggestion here. The T100 Thrusters are sold with 30A ESCs because it minimizes heat generated by the ESCs. Even at 12V, the thrusters donâ€™t draw anywhere near 30 amps. At 9.6V they will likely draw no more than 10 amps.-Rusty"
,,,,,,[solved] Can&#39;t connect to openrov cockpit / &quot;Destination not reachable&quot; - OpenROV Product Support - OpenROV Forums,
,,,,,,,
,,,,,,Jameson,"So I just got my pre built openrov not to long ago in the mail and was going to start setting it up. The problem I'm facing now is I can't connect to the cockpit page at <a href=""http://192.168.254.1:8080/"" rel=""nofollow noopener"">http://192.168.254.1:8080/</a> I've tried Chrome and firefox with no luck. Pinging the address 192.168.254.1 results in a ""Destination not reachable"" It says OpenRov-flash-2.5.1.34 on the flash. The serial is 1628 and interestingly enough on the pre shipping checklist the ""Camera and IMU data streams"" check is circled unlike the others which are just signed off??I've heard about issues with the homeplug not working so I disconnected that and plug the ethernet cable directly into beagleboard with no luck :( When I power the rov up after a while the LED lights on the front start blinking. Is that meant to be an indication of when its started up fully? It also says on the beagleboard site that you can connect to it using <a href=""http://192.168.7.2/"" rel=""nofollow noopener"">http://192.168.7.2/</a> which also didn't work for me. I've also tried connecting without the webcam plugged in but that didn't help. Visually inspected the wiring inside nothing seems wrong. Also checked the ethernet cable I was using for shorts and it seems fine.So how do I go about troubleshooting this? Also if its a firmware thing then how would I update the firmware when I can't access the cockpit? Any help would be appreciated I'm super excited to get my little robot going but this has just stumped me :("
,,,,,,Jameson,Has anyone else had this problem? Still looking for help. I see that the troubleshooting guide for this hasn't been completed yet either :( Is there support people I can email??
,,,,,,badevguru,"Hey Jameson,Do the blue lights on the beaglebone black oscillate back and forth like a blue Cylon visor?If not, It is possible that the eeprom has somehow corrupted the image on the ROV.  You would then need to use an SD card, burn a flash image on it, and then apply it to the beaglebone by booting with the image and waiting for the lights to turn solid indicating a completed re-write of the eeprom.If the lights are Cylon in nature, that indicated the ROV software has properly started up.  In that case your back to verifying that your local adapter is properly hard coded to a 192.168.254.2 or higher address.Iâ€™d start there and see which way the debugging goes.  Good Luck!-B"
,,,,,,Jameson,"Sorry for the late reply but I have been super busy and havenâ€™t had much time to work on this.Yeah the blue leds werenâ€™t doing the visor thing so I burnt a sd card and that did the trick. Now the cockpit comes up <img  title="":slight_smile:"" class=""emoji"" alt="":slight_smile:""> Only problem is without the SD card it doesnâ€™t load. I tried doing the â€œUpload firmware from SD card to Arduinoâ€ thing but that didnâ€™t work either. I guess I can just always keep the SD card in much having the eeprom work would be nice.Anyway thanks for the help, Iâ€™m glad I could finally get it to work <img  title="":slight_smile:"" class=""emoji"" alt="":slight_smile:"">"
,,,,,,Jameson,"I finally fixed the eeprom issue too! I wasnâ€™t using the flash image just the normal one, when I tried with the flash one it worked! Now I can boot without a SD card. Thanks again for the help."
,,,,,,badevguru,
[solved] No lights on topside adapter,https://forum.openrov.com/t/solved-no-lights-on-topside-adapter/2381,OpenROV 2.5 - 2.8,948,Mar '15,6,[solved] No lights on topside adapter - OpenROV 2.5 - 2.8 - OpenROV Forums,
,,,,,,,
,,,,,,geofa,"After a successful build, we were able to make everything work for a while, then started to have a problem with the topside adapter going dark (all three lights out) after about five minutes.  Finally it has gotten to the point that none of the topside board lights come on at all.  (We have a version 2.6 ROV with version 2 Tenda boards).Although we have no lights on the topside board, the ROV starts up normally (judging from the lights and expected startup sequence) but of course we have no Ethernet connection.I have replaced both the Tenda homeplug boards, mashed the connectors together to ensure good contact and generally messed about with no change in the symptoms, so now Iâ€™m stumped!  Any suggestions?Thanks - this is a great project and we have had a ton of fun putting it all together - now we want to dive! Dive! DIVE!"
,,,,,,Walt_Holm,Iâ€™m surprised that you donâ€™t get at least a power light from the Homeplug Adapter.   You might want to probe around a bit with a multimeter and see if the 3.3V regulator on the topside adapter board is still functioning.You can download the schematics for all of our electronics off of our GitHub site- see the â€œOpen Sourceâ€ tab on our home page.-W
,,,,,,geofa,A bit more detective work and I think Iâ€™ve figured it out.  I put a meter on the output of the regulator looking for the 3.3v and sure enough - not there.  A bit closer inspection showed that I let the magic smoke out of the regulator chip somehow.New topside board required Iâ€™m afraid!
,,,,,,geofa,Got a replacement 3.3 v regulator from DigiKey and Iâ€™m back in business!
,,,,,,Walt_Holm,"Nice.  Puzzling as to <em>why</em>  the 3.3V regulator failed, though.  Thereâ€™s not a whole lot of loose wires or things to short out- itâ€™s just powering the homeplug adapter.  If the regulator failed, does that mean one of the homeplug adapters is bad?Iâ€™d proceed very carefully with the new regulator.  Keep your finger on it when you first power it on, and if the thing starts getting hot, shut it down and investigate further.-W"
,,,,,,geofa,"No idea why it failed, but I did replace the Homeplug board too.  Before it failed (with the old Homeplug) it would run for a few mintues then shut down - like the regulator was going into thermal overload?   At any rate, it seems to be stable now, so I will retire the suspect Homeplug adapter and stick with the new one.Thanks for your suggestion - got me on the right track!"
,,,,,,badevguru,
Servo is activated when the escs are on,https://forum.openrov.com/t/servo-is-activated-when-the-escs-are-on/2438,OpenROV Product Support,707,Mar '15,3,Servo is activated when the escs are on - OpenROV Product Support - OpenROV Forums,
,,,,,,,
,,,,,,Charile,"The servo arm on my rov is activated when the esc controllers are on. When I turn the esc controllers off, it stops operating. Any reason why this may be?Thanks,Charlie"
,,,,,,Walt_Holm,"Hi Charlie:The camera tilt servo on the ROV is powered by the Battery Eliminator Circuit (BEC) on the ESCs.  If all the ESCs are switched off, then no power is sent to the tilt servo.-W"
,,,,,,Charile,"Hey Walt,<br>
Thank you for the reply. My issue is that the servo rotates uncontrollably with the ESCs on. Does this have anything to do with the fact that I have yet to program the ESCs?Thanks,Charlie"
,,,,,,Walt_Holm,"No, but maybe youâ€™ve got some hardware issue.  Iâ€™d start by checking that youâ€™ve got the servo plugged into the correct connector slot (it should be in D11 if I recall correctly).When you say â€œrotates uncontrollablyâ€, what exactly do you mean?  The servo can only go so far in one direction or the other.  It shouldnâ€™t spin around in complete circles.  If itâ€™s doing this, then you have a defective servo.  Get yourself a new one off of Amazon or at your local hobby shop.If you mean that it moves too far to one side, then you just need to undo the screw that holds the servo horn, and reposition the servo horn on the servo.-W"
[solved] Problem with uploading new arduino software,https://forum.openrov.com/t/solved-problem-with-uploading-new-arduino-software/2437,OpenROV 2.5 - 2.8,1.3k,Mar '15,7,[solved] Problem with uploading new arduino software - OpenROV 2.5 - 2.8 - OpenROV Forums,
,,,,,,,
,,,,,,becker_gerrit,"hello,I have just installed the OpenROV suite V2.5.1 onto my ROV.<br>
Now I am trying to upload a new arduino code onto the board as well with a few changes in the code, just to get a feeling of how to change the Arduino code. I am trying to do so via the â€œupload arduino software from SD cardâ€ tool in the settings in the cockpit of the ROV.<br>
The upload seems to be working fine, however, once itâ€™s done and the system has rebooted, nothing seems to have changed.So, I am just wondering what I am doing wrong here. Any help is appreciated.Thanks."
,,,,,,badevguru,"What are you expecting will change?  You are doing the right steps for loading the firmware on the arduino.  That step takes the source code for the Arduino that is in the /opt/openrov/arduino/openrov/OpenROV folder on the SD, compiles it, and moves it to the Arduino.  This is necessary because changes to the 2.5.1 software requires updates in the Arduino firmware,  the outcome of which should be things just work.<br>
There is a hash tag that is unique to the version of the Arduino firmware that is viewable In the telemetry pane.  I donâ€™t remember off hand what the hash of the firmware that matches 2.5.1-final is, but if you want to confirm that it is loaded let me know and I will dig that hash up."
,,,,,,becker_gerrit,"Ok. I am using the 2.5.1 software that applies itself to the flash memory of the BBB. Once the software was applied I took the SD card out of the BBB and formatted it, so it doesnâ€™t apply itself again to BBB when I put it in the reader to upload arduino software.<br>
Am I right, that the Arduino code is now in the  /opt/openrov/arduino/openrov/OpenROV on the BBBs flash memory? How can I change the Software in this folder? I can connect to it via network share and read all the files. However, when I try to change/delete/apply new files it just tells me that I donâ€™t have the necessary permissions."
,,,,,,badevguru,"You are correct.  I donâ€™t recall off hand an issue with making changes over the network as you are describingâ€¦  so Iâ€™ll need to look in to that.In the meantime, you can ssh on to the beaglebone and from there you can change to the directory that has the arduino files and use <code>sudo pico &lt;name of file&gt;</code> to open a text editor on the beaglebone that will allow you to change the files.  Not as clean as being able to connect over the network and use your favorite text editor but it will get the job done.-Brian"
,,,,,,becker_gerrit,"Alright. ssh onto the beaglebone and using sudo pico to change files works just fine. However, regardless of via network share or ssh, I cannot delete files or copy new ones onto the memory."
,,,,,,badevguru,"If your comfortable doing some command-line work on the beaglebone, you can manualy change the permissions on the files so that you can update them over the network or locally.lets say you want to work with files anywhere under /opt/openrov/arduino/openrov/OpenROVYou would use the command:<br>
<code>sudo chmod 777 /opt/openrov/arduino/openrov/OpenROV</code>Which will change the permissions so that anyone can do anything to the files."
,,,,,,becker_gerrit,"Thanks, thatâ€™s exactly what I was looking for. Now I am able to delete, change and upload new files."
